species,article title,accession number,data link,substance studied,sample type,what sequenced
human,The effect of cigarette smoking on the oral and nasal microbiota,NCBI under BioProject ID PRJNA316469.,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA316469.,cigarette smoke,"From each subject, nine samples including supra and subgingiva plaque scrapes, saliva, swabs from five soft oral tissue sites, and one nasal swab from both the anterior nares were collected",16S rRNA V3-V4 region was sequenced for microbial profiles
human,Individuals with substance use disorders have a distinct oral microbiome pattern,Raw sequencing data is available in EBI-ENA under accession number ERP123404. Feature tables accessible in Qiita under study ID 10424.,https://www.ebi.ac.uk/ena/browser/view/PRJEB39840?show=reads,individuals with substance use disorder (SU). We selected individuals with a diagnosed amphetamine or opioid substance use disorder and healthy comparison subjects,oral swap, 16S rRNA marker gene sequencing
human,Smoking induced salivary microbiome dysbiosis and is correlated with lipid biomarkers,Data available in the European Nucleotide Archive (ENA) at EMBL-EBI under accession number PRJEB73976.,https://www.ebi.ac.uk/ena/browser/view/PRJEB73976,cigarette smoke,saliva,16s rRNA V3-V4 region were sequenced using the Illumina MiSeq platform
human,Association of cigarette smoking with oral bacterial microbiota and cardiometabolic health in Chinese adults,Sequencing data available in the NODE database (https://www.biosino.org/node/project/detail/OEP004135).,https://www.biosino.org/node/project/detail/OEP004135,cigarette smoke,saliva,16S rRNA sequencing
human,Impact of waterpipe smoking on the salivary microbiome,Data available in the NCBI repository under BioProject ID PRJNA940686. Supplementary material provided for additional pathway analysis,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA940686,"Waterpipe smoking (also known as shisha, hookah, argileh, or hubble bubble)",saliva,16S rRNA bacterial gene was amplified and sequenced using the Illumina MiSeq platform
human,The oral microbiome in alcohol use disorder: a longitudinal analysis during inpatient treatment,Data deposited in the NCBI repository under BioProject ID PRJNA659632. Supplementary reconstructed counts are provided in the article's supplemental data.,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA659632,Alcohol Use Disorder (AUD); cessation monitored during inpatient treatment,tongue brushing,16S rRNA gene sequencing
human+mice,"Chronic cannabis smoking-enriched oral pathobiont drives behavioral changes, macrophage infiltration, and increases ?-amyloid protein production in the brain",Full oral microbiome sequencing data is available at NCBI BioProject under ID PRJNA685840. Additional data and methods are detailed in the supplementary material.,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA685840,Chronic cannabis smoking,Human saliva samples and oral swabs from mice,16S rRNA gene amplicons covering variable regions V3 to V4 
human,Cigarette Smoking and Opium Use in Relation to the Oral Microbiota in Iran,Sequencing data available in the NCBI repository under BioProject ID PRJNA549488. Supplementary material provided in the article,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA549488,Cigarette smoking and opium use,saliva, 16S rRNA sequencing
human,Tobacco exposure associated with oral microbiota oxygen utilization in the New York City Health and Nutrition Examination Study,Data and reproducible analysis codes available at https://github.com/waldronlab/nychanesmicrobiome. Supplementary materials include detailed OTU fold-change results.,https://github.com/waldronlab/nychanesmicrobiome,"Cigarette smoking, secondhand smoke, and alternative tobacco use (hookah, e-cigarette, etc.)",oral rinse,sequencing of the 16S ribosomal RNA gene V4 variable region
human,Salivary Microbiome and Cigarette Smoking: A First of Its Kind Investigation in Jordan,Data deposited in the NCBI repository under BioProject ID PRJNA579773. Additional analyses available in the supplementary material,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA579773,Cigarette smoking (minimum one cigarette/day),saliva,16S rRNA sequencing 
